ECV.L,Eco City Vehicles plc,LSE,UK,Auto Dealerships,744
MHN.L,Menhaden Capital,LSE,UK,,0
ZAZ.IR,ZAMANO,ISE,UK,,0
SWJ.L,John Swan & Sons plc,LSE,UK,,0
JDT.L,Jupiter Dividend & Growth Trust PLC,LSE,UK,,0
UANC.L,Urban&Civic; plc,LSE,UK,Real Estate Development,449
SDP.L,Schroder Asia Pacific Ord,LSE,UK,,0
HSBA.L,HSBC Holdings plc,LSE,UK,Money Center Banks,410
XPL.L,XPLORER,LSE,UK,,0
KLR.L,Keller Group plc,LSE,UK,General Contractors,636
SSE.L,SSE plc,LSE,UK,Diversified Utilities,913
JSI.L,Jiasen International Holdings Limited,LSE,UK,Home Furnishings & Fixtures,311
UBMN.L,UBM I14 NP,LSE,UK,,0
WPC.L,Witan Pacific Ord,LSE,UK,,0
RY4C.IR,RYANAIR HLDGS,ISE,UK,,0
VTC.L,The Vitec Group plc,LSE,UK,Communication Equipment,841
UTG.L,Unite Group plc,LSE,UK,Property Management,448
DOR.L,DORIEMUS,LSE,UK,,0
44RS.L,Santander UK Group Holdings plc,LSE,UK,,0
GPOR.L,Great Portland Estates plc,LSE,UK,REIT - Diversified,440
ASL.L,Aberforth Smaller Companies Ord,LSE,UK,,0
40JP.L,CAIXA GERAL FIN NCP,LSE,UK,,0
133716.L,XEROS TECH GR,LSE,UK,,0
PJF.L,The Prospect Japan Fund Limited,LSE,UK,,0
MLC.L,Millennium & Copthorne Hotels plc,LSE,UK,Lodging,710
137817.L,GCP STUDENT CP,LSE,UK,,0
GHE.L,Gresham House plc,LSE,UK,Asset Management,422
PML.L,Papua Mining plc,LSE,UK,Industrial Metals & Minerals,133
SBRY.L,J Sainsbury plc,LSE,UK,Grocery Stores,734
LEN.L,LEYSHON ENERGY,LSE,UK,,0
STS.L,Securities Trust of Scotland Ord,LSE,UK,,0
138654.L,HOCHSCHILD I15 NP,LSE,UK,,0
RWS.L,RWS Holdings plc,LSE,UK,Business Services,760
KGF.L,Kingfisher plc,LSE,UK,Home Improvement Stores,736
MSMN.L,Mosman Oil And Gas Limited,LSE,UK,Independent Oil & Gas,121
ELTZ.L,Electra Private Equity (Spl) ZDP 2016,LSE,UK,,0
DIVI.L,Diverse Income Trust Ord,LSE,UK,,0
RSW.L,Renishaw plc,LSE,UK,Diversified Electronics,836
JEL.L,Jersey Electricity plc,LSE,UK,Electric Utilities,911
DVO.L,Devro plc,LSE,UK,Food - Major Diversified,340
EMG.L,Man Group plc,LSE,UK,Asset Management,422
MKLW.L,A&J; Mucklow Group plc,LSE,UK,REIT - Diversified,440
JPM.L,JPMorgan Chase & Co.,LSE,UK,Money Center Banks,410
SRE.L,Sirius Real Estate Limited,LSE,UK,Property Management,448
UJO.L,Union Jack Oil plc,LSE,UK,Independent Oil & Gas,121
AJG.L,ATLAN JAP GRW GBP,LSE,UK,,0
